name,lng,lat,icon
BBLAK,-80.49289722,40.26581111,star-1
COPPE,-79.95576667,40.44455278,star-1
CRSBY,-80.08843056,40.26554167,star-1
CYDNY,-80.00492222,40.39600556,star-1
FLURY,-80.23075556,40.341875,star-1
GOLDH,-80.29927778,40.34259167,star-1
GUINZ,-80.15306111,40.40017222,star-1
HEINZ,-80.38141389,40.40711389,star-1
JOEPA,-80.22851111,40.37038056,star-1
LEMEW,-80.629247,40.3950389,star-1
LMBRT,-79.82938611,40.30978333,star-1
MLKIN,-80.18384722,40.34155556,star-1
MYRON,-79.86516111,40.61735556,star-1
NAMTH,-80.52275,40.77912222222222,star-1
PEETE,-79.88213333,40.47650833,star-1
PENGN,-80.215925,40.40253333,star-1
PITTZ,-80.08552222,40.482275,star-1
PROGY,-80.18515556,40.53550278,star-1
RACOO,-80.39034722,40.50535278,star-1
RADYO,-79.80190556,40.392675,star-1
RIVRZ,-80.27761111,40.40399444,star-1
STARG,-80.37433611,40.48984444,star-1
STILR,-79.84074444,40.36702778,star-1
TERBL,-80.27838333,40.585,star-1
TOWEL,-80.382375,40.58924722,star-1
WHIZZ,-79.98860278,40.45188889,star-1
WIILE,-80.46084444,40.492,star-1
WOLES,-79.99570833,40.35419722,star-1
WYLER,-80.07064167,40.3721,star-1
YINZZ,-80.602617,40.5992361,star-1
