name,lng,lat,icon
LEMEW,-80.62924722222222,40.39503888888889,star-1
YINZZ,-80.60261666666666,40.59923611111111,star-1
AAFRE,-79.91777222222223,40.45011388888889,star-1
AVERE,-80.05732222222223,40.33104166666667,star-1
AVODE,-79.94723611111111,40.43963055555555,star-1
BBLAK,-80.49289722222223,40.26581111111111,star-1
BILRE,-80.30836388888889,40.56282777777778,star-1
BOPGE,-80.49325277777778,40.408591666666666,star-1
CAKAT,-80.36341388888889,40.489536111111114,star-1
CETPU,-80.24205555555555,40.559374999999996,star-1
CILEE,-79.94050277777778,40.47219166666667,star-1
COFEE,-80.04326944444445,40.496227777777776,star-1
COPKU,-80.02352499999999,40.33411111111111,star-1
COPPE,-79.95576666666668,40.44455277777777,star-1
COSLU,-79.95075,40.47849444444444,star-1
CRSBY,-80.08843055555555,40.265541666666664,star-1
CYDNY,-80.00492222222222,40.396005555555554,star-1
DITPE,-80.14275555555557,40.483827777777776,star-1
DIYAC,-79.80352222222221,40.419552777777774,star-1
DOPNE,-80.15920555555556,40.49938888888889,star-1
ELALE,-80.44392222222223,40.463633333333334,star-1
EPONE,-80.388175,40.49353055555556,star-1
FLURY,-80.23075555555556,40.341875,star-1
FOGAK,-79.8242861111111,40.43969444444444,star-1
FOLOX,-80.14806944444445,40.48726944444444,star-1
FORMM,-80.36830555555555,40.492980555555555,star-1
GOLDH,-80.29927777777777,40.34259166666667,star-1
GRUNZ,-79.9495,40.27430555555556,star-1
GUBLE,-80.1371,40.48697222222222,star-1
GUINZ,-80.15306111111111,40.400172222222224,star-1
HALBA,-80.2701,40.53223333333333,star-1
HALIN,-80.01675277777778,40.48036388888889,star-1
HAVRU,-80.07751111111111,40.48536111111111,star-1
HEINZ,-80.38141388888889,40.40711388888889,star-1
HOLUX,-80.20637500000001,40.47184166666667,star-1
HOTUG,-79.88599166666667,40.450425,star-1
HULDO,-79.83573333333332,40.352447222222224,star-1
HYETO,-80.19943611111111,40.35365,star-1
JAKMA,-80.17968333333334,40.45978055555556,star-1
JAKNO,-80.46528055555555,40.462163888888895,star-1
JAPAV,-80.01033333333334,40.428327777777774,star-1
JAVET,-80.32016666666667,40.572250000000004,star-1
JEKIK,-79.81444166666667,40.4372,star-1
JOEPA,-80.22851111111112,40.370380555555556,star-1
JOWLY,-79.8194861111111,40.421699999999994,star-1
KADEC,-80.08381944444444,40.48223611111111,star-1
KANVE,-80.38630277777779,40.50524444444444,star-1
KC63U,-80.0,40.5,star-1
KELPE,-79.89028611111112,40.49520833333334,star-1
KERRS,-79.9745,40.49429722222222,star-1
KODIE,-80.33154166666667,40.46886666666667,star-1
KRIKK,-80.30720555555556,40.58603333333333,star-1
LAURY,-79.88977222222223,40.439677777777774,star-1
LENLE,-79.80324444444445,40.35437777777778,star-1
LIMBS,-79.85101666666667,40.49796666666667,star-1
LMBRT,-79.8293861111111,40.30978333333333,star-1
MAFRE,-79.94502777777778,40.435024999999996,star-1
MESIE,-80.02678055555556,40.354144444444444,star-1
MINAY,-79.9195,40.47629722222222,star-1
MLKIN,-80.18384722222223,40.34155555555556,star-1
MORTS,-79.88340833333334,40.44533055555555,star-1
MYRON,-79.8651611111111,40.617355555555555,star-1
NASTY,-79.90809166666668,40.49240833333334,star-1
NIMMS,-80.54736111111112,40.497350000000004,star-1
OGRUE,-79.94019444444444,40.48014166666667,star-1
PEETE,-79.88213333333333,40.476508333333335,star-1
PENGN,-80.215925,40.40253333333333,star-1
PEONN,-79.86034444444444,40.49820833333334,star-1
PEPPO,-79.83406666666666,40.52093611111111,star-1
PITTZ,-80.08552222222222,40.482275,star-1
PLAZE,-80.45783888888889,40.49520833333334,star-1
POLOE,-80.14728611111111,40.48395555555555,star-1
PRESY,-79.95597777777778,40.48193333333334,star-1
PROGY,-80.18515555555555,40.53550277777778,star-1
PRUIT,-80.05469722222222,40.48126111111111,star-1
RACOO,-80.39034722222223,40.50535277777778,star-1
RADYO,-79.80190555555555,40.392675,star-1
RIVRZ,-80.27761111111111,40.40399444444444,star-1
ROOSA,-80.0974611111111,40.57853333333334,star-1
RUYLO,-79.97647777777777,40.45518888888889,star-1
SHANS,-80.05768611111111,40.35406944444445,star-1
SSOXX,-80.1836,40.581563888888894,star-1
STARG,-80.3743361111111,40.489844444444444,star-1
STASI,-79.98629722222222,40.451547222222224,star-1
STILR,-79.84074444444444,40.36702777777778,star-1
STOWI,-80.52843888888889,40.508697222222224,star-1
SUPPR,-80.08877777777778,40.48565833333333,star-1
TERBL,-80.27838333333334,40.585,star-1
TOCAR,-80.10277222222221,40.30741666666666,star-1
TOWEL,-80.382375,40.58924722222223,star-1
TRINY,-80.14187222222223,40.42941111111111,star-1
WAKOB,-80.22705277777779,40.389969444444446,star-1
WEKBA,-79.9790388888889,40.58403055555556,star-1
WHIZZ,-79.98860277777779,40.451888888888895,star-1
WIILE,-80.46084444444445,40.492000000000004,star-1
WIXIS,-79.84649999999999,40.570061111111116,star-1
WOLES,-79.99570833333334,40.354197222222226,star-1
WYLER,-80.07064166666666,40.3721,star-1
YEGLU,-79.93710555555556,40.4528,star-1
YOWED,-80.3292111111111,40.360794444444444,star-1
ZAIKO,-80.11201666666666,40.49811666666667,star-1
ZANTA,-80.1755,40.45642222222222,star-1
ZAXAB,-80.32577777777777,40.50373333333334,star-1
ZUMNY,-79.93863055555556,40.47305,star-1
ZUPWY,-79.89991388888889,40.38282777777778,star-1
